"# Fields marked with * are required. AMS Asset ID is auto-generated - do not add it here. displayId blank = auto-generated, or type an existing legacy ID.",,,,,,,,,,,,,,,,
displayId,type*,category*,make*,model,name,serialNumber,purchaseSite*,currentSite*,purchaseDate*,warrantyEnd,status,assignedToEmpId,assignedToSubordinateEmpId,vendor,purchaseCost,remarks
DESKTOP-DVUMEE5,Desktop,IT Hardware,Dell,,,62DVJQ3,Solapur,Solapur,22-07-2018,13-07-2028,In Store,,,,,
HR,Desktop,IT Hardware,Dell,,,9P10JF3,Solapur,Solapur,07-01-2012,,In Store,,,,,
LT02SLHR,Laptop,IT Hardware,Anand ,,,-,Solapur,Solapur,01-04-2022,,In Store,,,,,
LT03SLPD,Laptop,IT Hardware,Dell,,,DJVT5L2,Solapur,Solapur,05-11-2012,,In Store,,,,,
LT04SLIN,Laptop,IT Hardware,Dell,,,CRV0CV2,Solapur,Solapur,17-05-2023,,In Store,,,,,
LT07SLPS,Laptop,IT Hardware,DELL,,,7GRCTJ2,Solapur,Solapur,07-05-2021,,In Store,,,,,
LT08SLTS,Laptop,IT Hardware,DELL,,,1LVT5L2,Solapur,Solapur,14-08-2020,,In Store,,,,,
LT09SLPS,Laptop,IT Hardware,Dell,,,JLXS5Z2,Solapur,Solapur,27-10-2017,,In Store,,,,,
LT10SLVP,Laptop,IT Hardware,Dell,,,D1M91C2,Solapur,Solapur,11-12-2019,,In Store,,,,,
LT12SLSF,Laptop,IT Hardware,Dell,,,HBQHFD3,Solapur,Solapur,20-04-2020,,In Store,,,,,
LT13SLPJ,Laptop,IT Hardware,Dell,,,8M7ZS93,Solapur,Solapur,19-12-2013,,In Store,,,,,
LT14SLTS,Laptop,IT Hardware,Dell Inspiron 5409,,,6NFZ763,Solapur,Solapur,26-06-2018,,In Store,,,,,
LT15SLQC,Laptop,IT Hardware,Dell,,,31S3SF3,Solapur,Solapur,26-10-2022,,In Store,,,,,
LT16SLPD,Laptop,IT Hardware,Dell,,,G5G70B3,Solapur,Solapur,27-05-2017,,In Store,,,,,
LT17SLSF,Laptop,IT Hardware,Dell,,,F5G70B3,Solapur,Solapur,05-08-2018,,In Store,,,,,
LT18SLHR,Laptop,IT Hardware,Dell,,,9GBFR93,Solapur,Solapur,25-09-2016,,In Store,,,,,
LT19SLHR,Laptop,IT Hardware,Dell,,,J0S3SF3,Solapur,Solapur,11-10-2019,,In Store,,,,,
LT20SLEN,Laptop,IT Hardware,Dell,,,CRSKFS3,Solapur,Solapur,03-11-2022,,In Store,,,,,
LT21SLINS,Laptop,IT Hardware,Dell,,,3937GX3,Solapur,Solapur,11-03-2024,,In Store,,,,,
LT22SLINS,Laptop,IT Hardware,Dell,,,BL37GX3,Solapur,Solapur,05-05-2024,,In Store,,,,,
LT23SLPD,Laptop,IT Hardware,HP,,,5CG2501QGV,Solapur,Solapur,11-12-2020,,In Store,,,,,
LT24SLSC,Laptop,IT Hardware,HP,,,5CG3242KHQ,Solapur,Solapur,18-06-2025,,In Store,,,,,
LT25SLMT,Laptop,IT Hardware,HP 240 G8 Notebook PC (4K5D5PA),,,5CG3242FVK,Solapur,Solapur,28-12-2023,,In Store,,,,,
LT26SLMT,Laptop,IT Hardware,HP 240 G8 Notebook PC (4K5D5PA),,,5CG3242KB0,Solapur,Solapur,26-12-2012,,In Store,,,,,
LT27SLUT,Laptop,IT Hardware,HP 240 G8 Notebook PC (6B5R4PA),,,1N13290K74,Solapur,Solapur,14-05-2025,,In Store,,,,,
LT28SLPD,Laptop,IT Hardware,HP 240 G8 Notebook PC (6B5R4PA),,,1N13290GZC,Solapur,Solapur,13-08-2024,,In Store,,,,,
LT29SLPD,Laptop,IT Hardware,HP 240 G8 Notebook PC (6B5R4PA),,,1N13290K88,Solapur,Solapur,08-11-2013,,In Store,,,,,
LT30SLSF,Laptop,IT Hardware,HP 240 G8 Notebook PC (6B5R4PA),,,1N13290J3G,Solapur,Solapur,07-04-2024,,In Store,,,,,
LT31SLIN,Laptop,IT Hardware,HP 240 14 inch G9 Notebook PC (8J0S5PA),,,1N132506GK,Solapur,Solapur,12-07-2014,,In Store,,,,,
LT32SLFA,Laptop,IT Hardware,HP 240 14 inch G9 Notebook PC (7M656PA),,,5CG33860NX,Solapur,Solapur,03-11-2019,,In Store,,,,,
LT33SLVP,Laptop,IT Hardware,HP Envy x360 Laptop 15-fe0032TU (8C4R9PA),,,CND41022H5,Solapur,Solapur,18-07-2016,,In Store,,,,,
PC03SLEN,Desktop,IT Hardware,Assembled,,,B123AC498642,Solapur,Solapur,15-11-2014,,In Store,,,,,
PC04SLEN,Desktop,IT Hardware,Assembled,,,NA,Solapur,Solapur,23-03-2014,,In Store,,,,,
PC06SLEN,Desktop,IT Hardware,Assembled,,,NA,Solapur,Solapur,01-08-2024,,In Store,,,,,
PC07SLFA,Desktop,IT Hardware,Hcl,,,NA,Solapur,Solapur,23-09-2016,,In Store,,,,,
