name,active
Officer,true
HR Associate,true
Production Associate,true
Asst.General Manager,true
Jr.Officer,true
Executive,true
Deputy Manager,true
Data Entry Operator,true
Dy. Manager,true
DCS Executive,true
Sr. Executive,true
Jr. Officer,true
DCS Officer,true
Asst. Manager,true
General Manager,true
Technician,true
Fireman,true
Maintenance Associate (Mechanical),true
Senior Manager,true
Maintenance Associate (Electrical),true
Assistant Manager,true
Manager,true
Boiler Associate,true
Lab Associate,true
Store Associate,true
Draftsman,true
Chemist,true
Assistant Vice President,true
Director,true
Operation,true
Executive Assistant,true
Sr.Vice President,true
Tanker Unloader,true
Maintenance Associate (Instrument),true
Assistant,true
Forklift Pilot,true
Utility Associate,true
