Row,Record,Result,Reason
2,00005,skipped,"Manager ""00604"" not found"
3,00006,skipped,"Manager ""00106"" not found"
4,00012,skipped,"Manager ""00341"" not found"
5,00014,skipped,"Manager ""00166"" not found"
6,00015,skipped,"Manager ""00071"" not found"
7,00022,skipped,"Manager ""00339"" not found"
8,00030,skipped,"Manager ""00022"" not found"
9,00032,skipped,"Manager ""00106"" not found"
10,00035,skipped,"Manager ""00106"" not found"
11,00039,skipped,"Manager ""00603"" not found"
12,00041,skipped,"Manager ""00738"" not found"
13,00042,skipped,"Manager ""00106"" not found"
14,00043,skipped,"Manager ""00603"" not found"
15,00048,skipped,"Manager ""00603"" not found"
16,00054,skipped,"Manager ""00603"" not found"
17,00056,skipped,"Manager ""00603"" not found"
18,00057,skipped,"Manager ""00106"" not found"
19,00059,skipped,"Manager ""00106"" not found"
20,00064,skipped,"Manager ""00106"" not found"
21,00068,skipped,"Manager ""00106"" not found"
22,00070,skipped,"Manager ""00071"" not found"
23,00071,skipped,"Manager ""00350"" not found"
24,00074,skipped,"Manager ""00071"" not found"
25,00075,skipped,"Manager ""00106"" not found"
26,00077,skipped,"Manager ""03019"" not found"
27,00086,skipped,"Manager ""00106"" not found"
28,00087,skipped,"Manager ""00166"" not found"
29,00100,skipped,"Manager ""00041"" not found"
30,00101,skipped,"Manager ""00106"" not found"
31,00105,skipped,"Manager ""00106"" not found"
32,00106,skipped,"Manager ""00041"" not found"
33,00111,skipped,"Manager ""00106"" not found"
34,00113,skipped,"Manager ""00603"" not found"
35,00115,skipped,"Manager ""00106"" not found"
36,00117,skipped,"Manager ""00106"" not found"
37,00118,skipped,"Manager ""00106"" not found"
38,00127,skipped,"Manager ""00106"" not found"
39,00131,skipped,"Manager ""00022"" not found"
40,00134,skipped,"Manager ""00071"" not found"
41,00136,skipped,"Manager ""00106"" not found"
42,00140,skipped,"Manager ""03019"" not found"
43,00144,skipped,"Manager ""00738"" not found"
44,00159,skipped,"Manager ""00106"" not found"
45,00160,skipped,"Manager ""00106"" not found"
46,00163,skipped,"Manager ""00071"" not found"
47,00166,skipped,"Manager ""01027"" not found"
48,00171,skipped,"Manager ""00383"" not found"
49,00173,skipped,"Manager ""00106"" not found"
50,00185,skipped,"Manager ""00603"" not found"
51,00186,skipped,"Manager ""00603"" not found"
52,00203,skipped,"Manager ""00383"" not found"
53,00205,skipped,"Manager ""00106"" not found"
54,00217,skipped,"Manager ""00603"" not found"
55,00220,skipped,"Manager ""00603"" not found"
56,00222,skipped,"Manager ""00106"" not found"
57,00224,skipped,"Manager ""00071"" not found"
58,00234,skipped,"Manager ""00166"" not found"
59,00237,skipped,"Manager ""00383"" not found"
60,00239,skipped,"Manager ""00341"" not found"
61,00243,skipped,"Manager ""00738"" not found"
62,00245,skipped,"Manager ""00603"" not found"
63,00252,skipped,"Manager ""00603"" not found"
64,00262,skipped,"Manager ""00723"" not found"
65,00263,skipped,"Manager ""00071"" not found"
66,00272,skipped,"Manager ""00243"" not found"
67,00273,skipped,"Manager ""00243"" not found"
68,00274,skipped,"Manager ""00022"" not found"
69,00275,skipped,"Manager ""00604"" not found"
70,00276,skipped,"Manager ""00243"" not found"
71,00279,skipped,"Manager ""00071"" not found"
72,00292,skipped,"Manager ""00383"" not found"
73,00302,skipped,"Manager ""00106"" not found"
74,00303,skipped,"Manager ""00106"" not found"
75,00305,skipped,"Manager ""00603"" not found"
76,00307,skipped,"Manager ""00022"" not found"
77,00308,skipped,"Manager ""00071"" not found"
78,00319,skipped,"Manager ""00071"" not found"
79,00320,skipped,"Manager ""00022"" not found"
80,00326,skipped,"Manager ""00106"" not found"
81,00328,skipped,"Manager ""00106"" not found"
82,00330,skipped,"Manager ""00106"" not found"
83,00332,skipped,"Manager ""00106"" not found"
84,00339,skipped,"Manager ""00723"" not found"
85,00341,skipped,"Manager ""00738"" not found"
86,00342,skipped,"Manager ""00723"" not found"
87,00344,skipped,"Manager ""00022"" not found"
88,00350,skipped,"Manager ""00738"" not found"
89,00360,skipped,"Manager ""00339"" not found"
90,00361,skipped,"Manager ""00022"" not found"
91,00364,skipped,"Manager ""00106"" not found"
92,00366,skipped,"Manager ""00106"" not found"
93,00370,skipped,"Manager ""00106"" not found"
94,00379,skipped,"Manager ""00342"" not found"
95,00380,skipped,"Manager ""00243"" not found"
96,00381,skipped,"Manager ""00360"" not found"
97,00383,skipped,"Manager ""00723"" not found"
98,00387,skipped,"Manager ""00614"" not found"
99,00389,skipped,"Manager ""00106"" not found"
100,00391,skipped,"Manager ""00022"" not found"
101,00393,skipped,"Manager ""00603"" not found"
102,00398,skipped,"Manager ""00243"" not found"
103,00399,skipped,"Manager ""00714"" not found"
104,00400,skipped,"Manager ""00243"" not found"
105,00402,skipped,"Manager ""00106"" not found"
106,00413,skipped,"Manager ""00071"" not found"
107,00414,skipped,"Manager ""00341"" not found"
108,00418,skipped,"Manager ""00243"" not found"
109,00422,skipped,"Manager ""00071"" not found"
110,00423,skipped,"Manager ""00341"" not found"
111,00428,skipped,"Manager ""00106"" not found"
112,00429,skipped,"Manager ""00106"" not found"
113,00430,skipped,"Manager ""00106"" not found"
114,00437,skipped,"Manager ""00243"" not found"
115,00451,skipped,"Manager ""00603"" not found"
116,00453,skipped,"Manager ""00106"" not found"
117,00454,skipped,"Manager ""00106"" not found"
118,00473,skipped,"Manager ""00041"" not found"
119,00476,skipped,"Manager ""00106"" not found"
120,00477,skipped,"Manager ""03019"" not found"
121,00480,skipped,"Manager ""00603"" not found"
122,00486,skipped,"Manager ""00106"" not found"
123,00487,skipped,"Manager ""00022"" not found"
124,00489,skipped,"Manager ""00106"" not found"
125,00491,skipped,"Manager ""00714"" not found"
126,00494,skipped,"Manager ""00022"" not found"
127,00501,skipped,"Manager ""00144"" not found"
128,00502,skipped,"Manager ""00106"" not found"
129,00503,skipped,"Manager ""00144"" not found"
130,00504,skipped,"Manager ""00166"" not found"
131,00511,skipped,"Manager ""00106"" not found"
132,00516,skipped,"Manager ""00144"" not found"
133,00517,skipped,"Manager ""00106"" not found"
134,00520,skipped,"Manager ""00243"" not found"
135,00529,skipped,"Manager ""00071"" not found"
136,00530,skipped,"Manager ""00106"" not found"
137,00543,skipped,"Manager ""00106"" not found"
138,00545,skipped,"Manager ""00106"" not found"
139,00549,skipped,"Manager ""00106"" not found"
140,00556,skipped,"Manager ""00106"" not found"
141,00559,skipped,"Manager ""00106"" not found"
142,00561,skipped,"Manager ""00106"" not found"
143,00562,skipped,"Manager ""00243"" not found"
144,00563,skipped,"Manager ""00243"" not found"
145,00565,skipped,"Manager ""00144"" not found"
146,00567,skipped,"Manager ""00360"" not found"
147,00576,skipped,"Manager ""00106"" not found"
148,00580,skipped,"Manager ""00106"" not found"
149,00587,skipped,"Manager ""00653"" not found"
150,00589,skipped,"Manager ""01085"" not found"
151,00593,skipped,"Manager ""00071"" not found"
152,00594,skipped,"Manager ""00341"" not found"
153,00596,skipped,"Manager ""00603"" not found"
154,00598,skipped,"Manager ""00603"" not found"
155,00599,skipped,"Manager ""00603"" not found"
156,00600,skipped,"Manager ""00603"" not found"
157,00602,skipped,"Manager ""00360"" not found"
158,00603,skipped,"Manager ""00723"" not found"
159,00604,skipped,"Manager ""00723"" not found"
160,00605,skipped,"Manager ""00341"" not found"
161,00606,skipped,"Manager ""00022"" not found"
162,00607,skipped,"Manager ""00360"" not found"
163,00609,skipped,"Manager ""01076"" not found"
164,00612,skipped,"Manager ""00106"" not found"
165,00614,skipped,"Manager ""00350"" not found"
166,00615,skipped,"Manager ""00041"" not found"
167,00616,skipped,"Manager ""00360"" not found"
168,00617,skipped,"Manager ""00604"" not found"
169,00618,skipped,"Manager ""00604"" not found"
170,00620,skipped,"Manager ""00604"" not found"
171,00621,skipped,"Manager ""00604"" not found"
172,00622,skipped,"Manager ""00604"" not found"
173,00624,skipped,"Manager ""00604"" not found"
